kind	target	status	detail
retain	/SubmarineTitans/Recovered/STControlCommandPayload	disabled	apply=0
retain	/SubmarineTitans/Recovered/STControlCommandPayloadView	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderData1	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderData10	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderData11	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderData2	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderData4	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderData5	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderData6	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderData9	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderDataD	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderDataE	disabled	apply=0
retain	/SubmarineTitans/Recovered/STGroupBoatOrderDataF	disabled	apply=0
retain	/SubmarineTitans/Recovered/STMessageArgWords	disabled	apply=0
retain	/SubmarineTitans/Recovered/STPackedValue32	disabled	apply=0
retain	/SubmarineTitans/Recovered/STPackedValue32Bytes	disabled	apply=0
retain	/SubmarineTitans/Recovered/STPackedValue32Words	disabled	apply=0
retain	/SubmarineTitans/Recovered/STPosition16	disabled	apply=0
