apply	action	type_path	replacement_path	expected_replacement	expected_length	expected_parents	expected_function_uses	expected_listing_uses	expected_description	reason
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_0223			32	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=48d9a5bd0ea7a648b77579840d335b0846f0258c60903a70ed6180302903dc70	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_0223 *32			4	1	0	0	32-bit pointer to AnonPointee_AiFltClassTy_0223	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_022F			32	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=97de909e75dff454ad08229a72f5c1e34a731ad1193ed7dff6a58e2f047b9fa8	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_AiFltClassTy_022F *32			4	1	0	0	32-bit pointer to AnonPointee_AiFltClassTy_022F	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_01B4			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=2633cbbf138c33fbd502cb41bf464e91a3762aa9447d67643d46023eef466d2a	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_CPanelTy_01B4 *32			4	1	0	0	32-bit pointer to AnonPointee_CPanelTy_01B4	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C7B			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=b77a3fff9e2e846b578e4634ab23982ad79e0e06048b1768cb1337871cf154cd	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C7B *32			4	1	0	0	32-bit pointer to AnonPointee_ChooseMapTy_1C7B	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C8B			12	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=2536ec9603c6aa9bf15fa4f781257d286dce87d433c01464510f6d7f7a9624cc	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_ChooseMapTy_1C8B *32			4	1	0	0	32-bit pointer to AnonPointee_ChooseMapTy_1C8B	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A97			24	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=f9faf20cf7693c3a02a575d19c07f5bc5e94c876fdbee95bb65d57e7da56ddad	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_FSGSTy_1A97 *32			4	1	0	0	32-bit pointer to AnonPointee_FSGSTy_1A97	still referenced
0	retain	/SubmarineTitans/Recovered/ClassPointees/AnonPointee_HelpPanelTy_0068			24	1	0	0	[STClassLayoutApplier] Generated nested class-field pointee; source=multiple non-overlapping fixed offsets through one class pointer field; generated_layout_sha256=6939d7ecad23ea21708539991ff3ef70aa25432471e60619c8d679f1471037c8	still referenced
