function_address	semantic_id	status	detail
0072DA40	msvc_alloca_probe	unchanged	desired name and prototype already present; consumer_call_views=0
006AB060	free_and_null	unchanged	desired name and prototype already present; consumer_call_views=0
006AE110	darray_destroy	unchanged	desired name and prototype already present; consumer_call_views=0
006AE290	darray_create	unchanged	desired name and prototype already present; consumer_call_views=0
006B54F0	sarray_create	unchanged	desired name and prototype already present; consumer_call_views=0
006AE140	darray_put	unchanged	desired name and prototype already present; consumer_call_views=0
006AE1C0	darray_append	unchanged	desired name and prototype already present; consumer_call_views=0
006ACC70	darray_get_element	unchanged	desired name and prototype already present; consumer_call_views=0
006B0140	load_resource_string	unchanged	desired name and prototype already present; consumer_call_views=0
006B0D60	sentinel_bitset128_builder	applied	BuildBitSet128 __cdecl; consumer_call_views=0
004406C0	indexed_record_byte_lookup	unchanged	desired name and prototype already present; consumer_call_views=0
006B0C70	darray_remove_at	unchanged	desired name and prototype already present; consumer_call_views=0
006B1190	darray_get_next	unchanged	desired name and prototype already present; consumer_call_views=0
006CEA60	copy_rows	unchanged	desired name and prototype already present; consumer_call_views=0
006AAC10	memory_allocate_zeroed	unchanged	desired name and prototype already present; consumer_call_views=0
006AAC70	memory_allocate	unchanged	desired name and prototype already present; consumer_call_views=0
006ACF50	memory_reallocate	unchanged	desired name and prototype already present; consumer_call_views=0
