target_address	status	proposed_name	detail
004137F0	disabled	STGroupBoatC::vfunc_18	all apply flags are 0
00415B10	disabled		all apply flags are 0
004168D0	disabled		all apply flags are 0
00416DB0	disabled		all apply flags are 0
00417F30	disabled		all apply flags are 0
00418990	disabled		all apply flags are 0
004189B0	disabled		all apply flags are 0
004189D0	disabled	STGameObjC::MoveStep	all apply flags are 0
00418CE0	disabled		all apply flags are 0
00418D00	disabled		all apply flags are 0
00419A90	disabled		all apply flags are 0
00419BF0	disabled		all apply flags are 0
00419DB0	disabled		all apply flags are 0
00419DD0	disabled		all apply flags are 0
0041AB60	disabled		all apply flags are 0
0041AB90	disabled		all apply flags are 0
0041ABC0	disabled		all apply flags are 0
0041ABF0	disabled		all apply flags are 0
0041AC40	disabled		all apply flags are 0
0041AC90	disabled		all apply flags are 0
0041ACC0	disabled		all apply flags are 0
0041ACF0	disabled		all apply flags are 0
0041AD20	disabled		all apply flags are 0
0041AD50	disabled		all apply flags are 0
0041AD80	disabled		all apply flags are 0
0041ADB0	disabled		all apply flags are 0
0041ADE0	disabled		all apply flags are 0
0041AE10	disabled		all apply flags are 0
0041AE40	disabled		all apply flags are 0
0041AE80	disabled		all apply flags are 0
0041AEA0	disabled		all apply flags are 0
0041AEC0	disabled		all apply flags are 0
0041AF40	disabled	STGameObjC::GetMessage	all apply flags are 0
0041C2C0	disabled		all apply flags are 0
0041C2E0	disabled		all apply flags are 0
0041C300	disabled		all apply flags are 0
0041C320	disabled		all apply flags are 0
0041C340	disabled		all apply flags are 0
0041C360	disabled		all apply flags are 0
0041C380	disabled		all apply flags are 0
0041D5E0	disabled		all apply flags are 0
0041D600	disabled		all apply flags are 0
0041D760	disabled		all apply flags are 0
0041D780	disabled		all apply flags are 0
0041D7A0	disabled		all apply flags are 0
0041D7C0	disabled		all apply flags are 0
0041D7E0	disabled		all apply flags are 0
0041D800	disabled		all apply flags are 0
0041D820	disabled		all apply flags are 0
0041D860	disabled		all apply flags are 0
0041D8A0	disabled		all apply flags are 0
0041D8C0	disabled		all apply flags are 0
0041DA10	disabled		all apply flags are 0
0041DA30	disabled		all apply flags are 0
0041DBC0	disabled		all apply flags are 0
0041DBE0	disabled		all apply flags are 0
0041DC20	disabled		all apply flags are 0
0041DD00	disabled		all apply flags are 0
0041E510	disabled		all apply flags are 0
0041E530	disabled	STSprGameObjC::GetMessage	all apply flags are 0
0041F310	disabled		all apply flags are 0
0041F330	disabled		all apply flags are 0
0041F350	disabled		all apply flags are 0
0041F370	disabled		all apply flags are 0
004210A0	disabled		all apply flags are 0
004210C0	disabled		all apply flags are 0
00422E20	disabled		all apply flags are 0
00422FF0	disabled		all apply flags are 0
00423140	disabled		all apply flags are 0
00423160	disabled		all apply flags are 0
00423180	disabled		all apply flags are 0
