family	component	slot_index	slot_offset	tables	owners	unique_targets	named_methods	named_owners	signature_shapes
007900A0:0	007900A0	0	0x0	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	19	GetMessage	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	/int(/SubmarineTitans/Recovered/STMessage *32) varargs=false noreturn=false
007900A0:1	007900A0	1	0x4	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	1			
007900A0:10	007900A0	10	0x28	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	3			
007900A0:11	007900A0	11	0x2C	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	15			
007900A0:12	007900A0	12	0x30	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	6			
007900A0:13	007900A0	13	0x34	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	6			
007900A0:14	007900A0	14	0x38	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	2			
007900A0:15	007900A0	15	0x3C	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	2			
007900A0:16	007900A0	16	0x40	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	1			
007900A0:17	007900A0	17	0x44	007900A0 | 00790AA0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C3EC | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | TLOBaseTy | TLOFakeTy	2			
