name_apply	convention_apply	signature_apply	target_address	expected_name	expected_name_source	expected_signature	expected_signature_source	expected_calling_convention	proposed_calling_convention	proposed_name	owner	method	owner_type_path	table_addresses	table_names	table_owners	entry_addresses	slot_offsets	family	anchor_address	anchor_name	anchor_signature	return_type_path	parameters	varargs	noreturn	proposed_signature	confidence	reason
0	0	0	004137F0	FUN_004137f0	DEFAULT	undefined4 __stdcall FUN_004137f0(AnonShape_004137F0_350C8AE0 * param_1, int param_2, uint param_3, int param_4)	ANALYSIS	__stdcall	__thiscall	STGroupBoatC::vfunc_18	STGroupBoatC	vfunc_18	/STGroupBoatC	00790728	STGroupBoatCVTable	STGroupBoatC	00404967	0x18	00790728:6						false	false		low	slot_family_has_no_named_method; unique_owner_for_target
0	0	0	00415B10	FUN_00415b10	DEFAULT	undefined FUN_00415b10(void)	DEFAULT	unknown	__thiscall					007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C260 | 0079C3EC | 0079C5AC | 0079C714 | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098 | 0079D4AC	STArtiafactCVTable | STColl3CVTable | STContainerCVTable | STCrabCVTable | STDcResourcCVTable | STDestCVTable | STExplosionVTable | STFishCVTable | STGameObjCVTable | STJellyGunCVTable | STJellyManCVTable | STLBombCVTable | STMBombCVTable | STMineSetCVTable | STOctopusCVTable | STRubbishCVTable | STSatCVTable | STSharkCVTable | STSprGameObjCVTable | STTorpCVTable | TLOBaseTyVTable | TLOEmbryoTyVTable | TLOFakeTyVTable	STArtiafactC | STColl3C | STContainerC | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | STTorpC | TLOBaseTy | TLOEmbryoTy | TLOFakeTy	00402964	0x4	007900A0:1				/dword		false	false		low	slot_family_has_no_named_method; target_shared_by_multiple_owners
0	0	0	004168D0	FUN_004168d0	DEFAULT	undefined2 __stdcall FUN_004168d0(short param_1, short param_2, undefined4 param_3, short param_4, short param_5)	ANALYSIS	__stdcall	__thiscall					007900A0 | 007905A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C260 | 0079C3EC | 0079C5AC | 0079C714 | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098 | 0079D4AC	STArtiafactCVTable | STBoatCVTable | STColl3CVTable | STContainerCVTable | STCrabCVTable | STDcResourcCVTable | STDestCVTable | STExplosionVTable | STFishCVTable | STGameObjCVTable | STJellyGunCVTable | STJellyManCVTable | STLBombCVTable | STMBombCVTable | STMineSetCVTable | STOctopusCVTable | STRubbishCVTable | STSatCVTable | STSharkCVTable | STSprGameObjCVTable | STTorpCVTable | TLOBaseTyVTable | TLOEmbryoTyVTable | TLOFakeTyVTable	STArtiafactC | STBoatC | STColl3C | STContainerC | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | STTorpC | TLOBaseTy | TLOEmbryoTy | TLOFakeTy	00402AFE	0x10	007900A0:4 | 007905A0:4						false	false		low	target_used_by_multiple_slot_families; slot_family_has_no_named_method; target_shared_by_multiple_owners
0	0	0	00416DB0	FUN_00416db0	DEFAULT	undefined2 __stdcall FUN_00416db0(short param_1, short param_2, undefined4 param_3, short param_4, short param_5)	ANALYSIS	__stdcall	__thiscall					007900A0 | 007905A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C260 | 0079C3EC | 0079C5AC | 0079C714 | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098 | 0079D4AC	STArtiafactCVTable | STBoatCVTable | STColl3CVTable | STContainerCVTable | STCrabCVTable | STDcResourcCVTable | STDestCVTable | STExplosionVTable | STFishCVTable | STGameObjCVTable | STJellyGunCVTable | STJellyManCVTable | STLBombCVTable | STMBombCVTable | STMineSetCVTable | STOctopusCVTable | STRubbishCVTable | STSatCVTable | STSharkCVTable | STSprGameObjCVTable | STTorpCVTable | TLOBaseTyVTable | TLOEmbryoTyVTable | TLOFakeTyVTable	STArtiafactC | STBoatC | STColl3C | STContainerC | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | STTorpC | TLOBaseTy | TLOEmbryoTy | TLOFakeTy	004036AC	0x14	007900A0:5 | 007905A0:5						false	false		low	target_used_by_multiple_slot_families; slot_family_has_no_named_method; target_shared_by_multiple_owners
0	0	0	00417F30	FUN_00417f30	DEFAULT	bool __thiscall FUN_00417f30(void * this, short param_1, short param_2, short param_3)	ANALYSIS	__thiscall	__thiscall					007900A0 | 007905A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C260 | 0079C3EC | 0079C5AC | 0079C714 | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098 | 0079D4AC	STArtiafactCVTable | STBoatCVTable | STColl3CVTable | STContainerCVTable | STCrabCVTable | STDcResourcCVTable | STDestCVTable | STExplosionVTable | STFishCVTable | STGameObjCVTable | STJellyGunCVTable | STJellyManCVTable | STLBombCVTable | STMBombCVTable | STMineSetCVTable | STOctopusCVTable | STRubbishCVTable | STSatCVTable | STSharkCVTable | STSprGameObjCVTable | STTorpCVTable | TLOBaseTyVTable | TLOEmbryoTyVTable | TLOFakeTyVTable	STArtiafactC | STBoatC | STColl3C | STContainerC | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | STTorpC | TLOBaseTy | TLOEmbryoTy | TLOFakeTy	00404BCE	0x18	007900A0:6 | 007905A0:6						false	false		low	target_used_by_multiple_slot_families; slot_family_has_no_named_method; target_shared_by_multiple_owners
0	0	0	00418990	FUN_00418990	DEFAULT	undefined FUN_00418990(void)	DEFAULT	unknown	__thiscall					007900A0 | 0079B68C | 0079CB14 | 0079D098	STExplosionVTable | STGameObjCVTable | STJellyManCVTable | STRubbishCVTable	STExplosion | STGameObjC | STJellyManC | STRubbishC	00402EFA	0x8	007900A0:2						false	false		low	slot_family_has_no_named_method; target_shared_by_multiple_owners
0	0	0	004189B0	FUN_004189b0	DEFAULT	undefined FUN_004189b0(void)	DEFAULT	unknown	__thiscall					007900A0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C5AC | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098 | 0079D4AC	STColl3CVTable | STCrabCVTable | STDcResourcCVTable | STDestCVTable | STExplosionVTable | STFishCVTable | STGameObjCVTable | STJellyGunCVTable | STJellyManCVTable | STLBombCVTable | STMBombCVTable | STMineSetCVTable | STOctopusCVTable | STRubbishCVTable | STSatCVTable | STSharkCVTable | STTorpCVTable | TLOFakeTyVTable	STColl3C | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STTorpC | TLOFakeTy	00402EC3	0xC	007900A0:3						false	false		low	slot_family_has_no_named_method; target_shared_by_multiple_owners
0	0	0	004189D0	STGameObjC::MoveStep	USER_DEFINED	undefined4 __thiscall MoveStep(STGameObjC * this)	ANALYSIS	__thiscall	__thiscall	STGameObjC::MoveStep	STGameObjC	MoveStep	/STGameObjC	007900A0 | 00790AA0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C260 | 0079C3EC | 0079C5AC | 0079C714 | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098 | 0079D4AC	STArtiafactCVTable | STColl3CVTable | STContainerCVTable | STCrabCVTable | STDcResourcCVTable | STDestCVTable | STExplosionVTable | STFishCVTable | STGameObjCVTable | STJellyGunCVTable | STJellyManCVTable | STLBombCVTable | STMBombCVTable | STMineSetCVTable | STOctopusCVTable | STRubbishCVTable | STSatCVTable | STSharkCVTable | STSprGameObjCVTable | STTorpCVTable | TLOBaseTyVTable | TLOEmbryoTyVTable | TLOFakeTyVTable	STArtiafactC | STColl3C | STContainerC | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | STTorpC | TLOBaseTy | TLOEmbryoTy | TLOFakeTy	004048F9	0x1C	007900A0:7						false	false		low	unique_named_method_in_slot_family; target_already_has_meaningful_name; no_qualified_signature_anchor
0	0	0	00418CE0	FUN_00418ce0	DEFAULT	undefined FUN_00418ce0(void)	DEFAULT	unknown	__thiscall					007900A0 | 00797560 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C260 | 0079C3EC | 0079C5AC | 0079C714 | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098 | 0079D4AC	STArtiafactCVTable | STColl3CVTable | STContainerCVTable | STCrabCVTable | STDcResourcCVTable | STDestCVTable | STExplosionVTable | STFishCVTable | STGameObjCVTable | STJellyGunCVTable | STJellyManCVTable | STLBombCVTable | STMBombCVTable | STMineSetCVTable | STOctopusCVTable | STRubbishCVTable | STSatCVTable | STSharkCVTable | STSprGameObjCVTable | STTorpCVTable | TLOFakeTyVTable	STArtiafactC | STColl3C | STContainerC | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | STTorpC | TLOFakeTy	00404ECB	0xC4	007900A0:49						false	false		low	slot_family_has_no_named_method; target_shared_by_multiple_owners
0	0	0	00418D00	FUN_00418d00	DEFAULT	void FUN_00418d00(void)	ANALYSIS	unknown	__thiscall					007900A0 | 00797560 | 00798C70 | 0079B238 | 0079B3C4 | 0079B528 | 0079B68C | 0079B78C | 0079B8F0 | 0079BA54 | 0079BBB8 | 0079BD1C | 0079BE80 | 0079C260 | 0079C3EC | 0079C5AC | 0079C714 | 0079C9B0 | 0079CB14 | 0079CEFC | 0079D098 | 0079D4AC	STArtiafactCVTable | STColl3CVTable | STContainerCVTable | STCrabCVTable | STDcResourcCVTable | STDestCVTable | STExplosionVTable | STFishCVTable | STGameObjCVTable | STJellyGunCVTable | STJellyManCVTable | STLBombCVTable | STMBombCVTable | STMineSetCVTable | STOctopusCVTable | STRubbishCVTable | STSatCVTable | STSharkCVTable | STSprGameObjCVTable | STTorpCVTable | TLOEmbryoTyVTable | TLOFakeTyVTable	STArtiafactC | STColl3C | STContainerC | STCrabC | STDcResourcC | STDestC | STExplosion | STFishC | STGameObjC | STJellyGunC | STJellyManC | STLBombC | STMBombC | STMineSetC | STOctopusC | STRubbishC | STSatC | STSharkC | STSprGameObjC | STTorpC | TLOEmbryoTy | TLOFakeTy	00403AEE	0xC8	007900A0:50				/void	param_1=/undefined4	false	false		low	slot_family_has_no_named_method; target_shared_by_multiple_owners
