kind	address	status	name	detail
table	007900A0	already_present	STGameObjCVTable	used existing manual type /SubmarineTitans/Recovered/VTables/STGameObjCVTable; 53 slots
owner_vptr	STGameObjC+0x0	already_present	STGameObjC	owner already points to /SubmarineTitans/Recovered/VTables/STGameObjCVTable
table	00790508	updated	STGroupCVTable	updated unchanged-since-apply generated type /SubmarineTitans/Recovered/VTables/STGroupCVTable; 10 slots
owner_vptr	STGroupC+0x0	already_present	STGroupC	owner already points to /SubmarineTitans/Recovered/VTables/STGroupCVTable
table	0079059C	already_present	STAllPlayersCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/STAllPlayersCVTable; 1 slots
owner_vptr	STAllPlayersC+0x0	already_present	STAllPlayersC	owner already points to /SubmarineTitans/Recovered/VTables/STAllPlayersCVTable
table	007905A0	updated	STBoatCVTable	updated unchanged-since-apply generated type /SubmarineTitans/Recovered/VTables/STBoatCVTable; 73 slots
owner_vptr	STBoatC+0x0	already_present	STBoatC	owner already points to /SubmarineTitans/Recovered/VTables/STBoatCVTable
table	00790700	already_present	VTable_00790700	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_00790700; 1 slots
table	00790708	already_present	VTable_00790708	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_00790708; 1 slots
table	00790710	already_present	DumpClassCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/DumpClassCVTable; 1 slots
owner_vptr	DumpClassC+0x0	already_present	DumpClassC	owner already points to /SubmarineTitans/Recovered/VTables/DumpClassCVTable
table	00790728	updated	STGroupBoatCVTable	updated unchanged-since-apply generated type /SubmarineTitans/Recovered/VTables/STGroupBoatCVTable; 10 slots
owner_vptr	STGroupBoatC+0x0	already_present	STGroupBoatC	owner already points to /SubmarineTitans/Recovered/VTables/STGroupBoatCVTable
table	00790758	already_present	OpticClassCVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/OpticClassCVTable; 1 slots
owner_vptr	OpticClassC+0x0	skipped	OpticClassC	vptr store lies outside the recovered owner layout
table	00790790	already_present	VTable_00790790	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_00790790; 1 slots
table	00790AA0	updated	TLOBaseTyVTable	updated unchanged-since-apply generated type /SubmarineTitans/Recovered/VTables/TLOBaseTyVTable; 73 slots
owner_vptr	TLOBaseTy+0x0	already_present	TLOBaseTy	owner already points to /SubmarineTitans/Recovered/VTables/TLOBaseTyVTable
table	00790C00	already_present	VTable_00790C00	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_00790C00; 1 slots
table	00790C04	already_present	TLOBldMarkVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/TLOBldMarkVTable; 1 slots
owner_vptr	TLOBldMark+0x0	skipped	TLOBldMark	vptr store lies outside the recovered owner layout
table	00797560	already_present	TLOFakeTyVTable	used unchanged generated type /SubmarineTitans/Recovered/VTables/TLOFakeTyVTable; 73 slots
owner_vptr	TLOFakeTy+0x0	already_present	TLOFakeTy	owner already points to /SubmarineTitans/Recovered/VTables/TLOFakeTyVTable
table	007976C0	already_present	VTable_007976C0	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_007976C0; 1 slots
table	00798C6C	already_present	VTable_00798C6C	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_00798C6C; 1 slots
table	00798C70	already_present	VTable_00798C70	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_00798C70; 73 slots
table	0079AB78	skipped	VTable_0079AB78	apply=0; layout_apply=0
table	0079ABA4	skipped	VTable_0079ABA4	apply=0; layout_apply=0
table	0079ABCC	skipped	VTable_0079ABCC	apply=0; layout_apply=0
table	0079ABF4	skipped	VTable_0079ABF4	apply=0; layout_apply=0
table	0079AC18	already_present	VTable_0079AC18	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079AC18; 10 slots
table	0079AC48	already_present	VTable_0079AC48	used unchanged generated type /SubmarineTitans/Recovered/VTables/VTable_0079AC48; 7 slots
table	0079AC74	skipped	VTable_0079AC74	apply=0; layout_apply=0
table	0079ACA0	skipped	VTable_0079ACA0	apply=0; layout_apply=0
table	0079AD14	skipped	VTable_0079AD14	apply=0; layout_apply=0
table	0079AD30	skipped	VTable_0079AD30	apply=0; layout_apply=0
table	0079AD4C	skipped	VTable_0079AD4C	apply=0; layout_apply=0
table	0079AD68	skipped	VTable_0079AD68	apply=0; layout_apply=0
table	0079AD90	skipped	VTable_0079AD90	apply=0; layout_apply=0
