left_table	left_owner	right_table	right_owner	compared_slots	shared_slots	shared_ratio	differing_offsets
007900A0		00790AA0	TLOBaseTy	53	28	0.528	0x0 | 0x8 | 0xC | 0x28 | 0x2C | 0x30 | 0x34 | 0x38 | 0x3C | 0x44 | 0x48 | 0x50 | 0x5C | 0x68 | 0x6C | 0x70 | 0x74 | 0x78 | 0x7C | 0x80 | 0x84 | 0x88 | 0xC4 | 0xC8 | 0xD0
007900A0		00797560	TLOFakeTy	53	51	0.962	0x0 | 0x8
007900A0		00798C70		53	43	0.811	0x0 | 0x8 | 0xC | 0x28 | 0x2C | 0x30 | 0x34 | 0x68 | 0x7C | 0xC4
007900A0		0079B238	STCrabC	53	50	0.943	0x0 | 0x8 | 0x2C
007900A0		0079B3C4	STFishC	53	50	0.943	0x0 | 0x8 | 0x2C
007900A0		0079B528	STDcResourcC	53	46	0.868	0x0 | 0x8 | 0x2C | 0x30 | 0x34 | 0x58 | 0x5C
007900A0		0079B68C	STJellyManC	53	51	0.962	0x0 | 0x2C
007900A0		0079B78C	STJellyGunC	53	50	0.943	0x0 | 0x8 | 0x2C
007900A0		0079B8F0	STLBombC	53	50	0.943	0x0 | 0x8 | 0x2C
007900A0		0079BA54	STMBombC	53	50	0.943	0x0 | 0x8 | 0x2C
007900A0		0079BBB8	STOctopusC	53	50	0.943	0x0 | 0x8 | 0x2C
007900A0		0079BD1C	STSatC	53	50	0.943	0x0 | 0x8 | 0x2C
007900A0		0079BE80	STSharkC	53	50	0.943	0x0 | 0x8 | 0x2C
007900A0		0079C3EC	STSprGameObjC	53	33	0.623	0x0 | 0x8 | 0xC | 0x28 | 0x2C | 0x30 | 0x34 | 0x58 | 0x5C | 0x78 | 0x7C | 0x9C | 0xA0 | 0xA4 | 0xA8 | 0xAC | 0xB0 | 0xB4 | 0xB8 | 0xBC
007900A0		0079C5AC	STColl3C	53	49	0.925	0x0 | 0x8 | 0x78 | 0x7C
007900A0		0079C8A0	STGameObjC	53	52	0.981	0x0
007900A0		0079C9B0	STDestC	53	46	0.868	0x0 | 0x8 | 0x2C | 0x30 | 0x34 | 0x70 | 0x74
007900A0		0079CB14	STExplosion	53	52	0.981	0x0
007900A0		0079CC28	STGameObjC	53	52	0.981	0x0
007900A0		0079CD94	STGameObjC	53	52	0.981	0x0
007900A0		0079CEFC	STMineSetC	53	41	0.774	0x0 | 0x8 | 0x2C | 0x30 | 0x34 | 0x58 | 0x5C | 0x64 | 0x6C | 0x70 | 0x74 | 0x7C
007900A0		0079D098	STRubbishC	53	52	0.981	0x0
007900A0		0079D1D8	STGameObjC	53	51	0.962	0x0 | 0x8
007900A0		0079D33C	STGameObjC	53	51	0.962	0x0 | 0x8
00790AA0	TLOBaseTy	00797560	TLOFakeTy	73	38	0.521	0x0 | 0xC | 0x28 | 0x2C | 0x30 | 0x34 | 0x38 | 0x3C | 0x44 | 0x48 | 0x50 | 0x5C | 0x68 | 0x6C | 0x70 | 0x74 | 0x78 | 0x7C | 0x80 | 0x84 | 0x88 | 0xC4 | 0xC8 | 0xD0 | 0xDC | 0xE0 | 0xE8 | 0xEC | 0xF0 | 0xF4 | 0xF8 | 0xFC | 0x108 | 0x10C | 0x110
