table_address	owner	slot_index	slot_offset	pointer_address	raw_target_address	raw_target_symbol	exact_function_entry	exact_function	interior_target	create_function_candidate	containing_function_entry	containing_function	thunk	resolved_target_address	resolved_target_function	slot_owner	proposed_function	create_apply	rename_apply
007900A0	STGameObjC	0	0x0	007900A0	00403EBD	STGameObjC::GetMessage	00403EBD	STGameObjC::GetMessage	false	false	00403EBD	STGameObjC::GetMessage	true	0041AF40	STGameObjC::GetMessage	STGameObjC	STGameObjC::GetMessage	0	0
007900A0	STGameObjC	1	0x4	007900A4	00402964	thunk_FUN_00415b10	00402964	thunk_FUN_00415b10	false	false	00402964	thunk_FUN_00415b10	true	00415B10	FUN_00415b10		STGameObjC::vfunc_04	0	0
007900A0	STGameObjC	2	0x8	007900A8	00402EFA	thunk_FUN_00418990	00402EFA	thunk_FUN_00418990	false	false	00402EFA	thunk_FUN_00418990	true	00418990	FUN_00418990		STGameObjC::vfunc_08	0	0
007900A0	STGameObjC	3	0xC	007900AC	00402EC3	thunk_FUN_004189b0	00402EC3	thunk_FUN_004189b0	false	false	00402EC3	thunk_FUN_004189b0	true	004189B0	FUN_004189b0		STGameObjC::vfunc_0C	0	0
007900A0	STGameObjC	4	0x10	007900B0	00402AFE	thunk_FUN_004168d0	00402AFE	thunk_FUN_004168d0	false	false	00402AFE	thunk_FUN_004168d0	true	004168D0	FUN_004168d0		STGameObjC::vfunc_10	0	0
007900A0	STGameObjC	5	0x14	007900B4	004036AC	thunk_FUN_00416db0	004036AC	thunk_FUN_00416db0	false	false	004036AC	thunk_FUN_00416db0	true	00416DB0	FUN_00416db0		STGameObjC::vfunc_14	0	0
007900A0	STGameObjC	6	0x18	007900B8	00404BCE	thunk_FUN_00417f30	00404BCE	thunk_FUN_00417f30	false	false	00404BCE	thunk_FUN_00417f30	true	00417F30	FUN_00417f30		STGameObjC::vfunc_18	0	0
007900A0	STGameObjC	7	0x1C	007900BC	004048F9	STGameObjC::MoveStep	004048F9	STGameObjC::MoveStep	false	false	004048F9	STGameObjC::MoveStep	true	004189D0	STGameObjC::MoveStep	STGameObjC	STGameObjC::MoveStep	0	0
007900A0	STGameObjC	8	0x20	007900C0	00404DD1	thunk_FUN_00419a90	00404DD1	thunk_FUN_00419a90	false	false	00404DD1	thunk_FUN_00419a90	true	00419A90	FUN_00419a90		STGameObjC::vfunc_20	0	0
007900A0	STGameObjC	9	0x24	007900C4	00401438	thunk_FUN_00419bf0	00401438	thunk_FUN_00419bf0	false	false	00401438	thunk_FUN_00419bf0	true	00419BF0	FUN_00419bf0		STGameObjC::vfunc_24	0	0
007900A0	STGameObjC	10	0x28	007900C8	00404232	thunk_FUN_00419db0	00404232	thunk_FUN_00419db0	false	false	00404232	thunk_FUN_00419db0	true	00419DB0	FUN_00419db0		STGameObjC::vfunc_28	0	0
007900A0	STGameObjC	11	0x2C	007900CC	004024E6	thunk_FUN_00419dd0	004024E6	thunk_FUN_00419dd0	false	false	004024E6	thunk_FUN_00419dd0	true	00419DD0	FUN_00419dd0		STGameObjC::vfunc_2C	0	0
007900A0	STGameObjC	12	0x30	007900D0	00404F70	thunk_FUN_0041ab60	00404F70	thunk_FUN_0041ab60	false	false	00404F70	thunk_FUN_0041ab60	true	0041AB60	FUN_0041ab60		STGameObjC::vfunc_30	0	0
007900A0	STGameObjC	13	0x34	007900D4	00402D2E	thunk_FUN_0041ab90	00402D2E	thunk_FUN_0041ab90	false	false	00402D2E	thunk_FUN_0041ab90	true	0041AB90	FUN_0041ab90		STGameObjC::vfunc_34	0	0
007900A0	STGameObjC	14	0x38	007900D8	00404DE5	thunk_FUN_0041abc0	00404DE5	thunk_FUN_0041abc0	false	false	00404DE5	thunk_FUN_0041abc0	true	0041ABC0	FUN_0041abc0		STGameObjC::vfunc_38	0	0
